Product Name,Revenue,Profit,Units,Orders,Profit Margin %
Canon imageCLASS Copier Pro,108567.65000000001,7507.320000000001,92,35,6.9
Canon imageCLASS Copier Deluxe,104943.54000000001,15298.130000000001,68,25,14.6
Hewlett Packard Copier Pro,88981.73,8379.34,65,25,9.4
Canon imageCLASS Copier Standard,83069.18000000001,5197.21,71,31,6.3
Hewlett Packard Copier Deluxe,78666.97,1347.9799999999998,64,29,1.7
Canon imageCLASS Copier Classic,73729.56999999999,605.1099999999999,64,26,0.8
Hewlett Packard Copier Standard,71206.81,8542.48,53,23,12.0
Canon imageCLASS Copier Value,54149.35,1752.09,45,23,3.2
Hewlett Packard Copier Classic,47171.869999999995,1745.68,39,16,3.7
Cubify 3D Printer Standard,33578.02,3658.92,47,17,10.9
Lexmark Printer Deluxe,33158.42,3286.02,50,24,9.9
Hewlett Packard Copier Value,31806.870000000003,1052.61,30,13,3.3
Cubify 3D Printer Classic,30591.7,3106.5099999999998,47,20,10.2
Lexmark Printer Value,29548.71,2260.37,47,19,7.6
Cubify 3D Printer Value,26004.44,2744.96,41,18,10.6
Lexmark Printer Standard,25226.77,1530.95,39,20,6.1
Zebra Label Printer Value,23581.04,-231.7399999999998,40,18,-1.0
Zebra Label Printer Pro,23328.33,151.7299999999999,40,18,0.7
Cubify 3D Printer Pro,22815.15,-5797.95,46,18,-25.4
Lexmark Printer Classic,22557.239999999998,883.0999999999998,43,17,3.9
Zebra Label Printer Deluxe,22524.98,1851.49,33,20,8.2
Zebra Label Printer Classic,22011.16,-468.3999999999999,39,16,-2.1
Bevis Table Standard,21154.059999999998,1557.96,63,28,7.4
Chromcraft Round Table Classic,18523.4,2318.07,52,21,12.5
O'Sullivan Bookcase Deluxe,18473.61,3712.2,64,25,20.1
Bretford Conference Table Value,18133.2,1140.38,60,23,6.3
Chromcraft Round Table Deluxe,17991.43,936.8799999999998,57,23,5.2
Bevis Table Classic,17931.22,1515.04,54,26,8.4
Lexmark Printer Pro,16844.39,707.5799999999999,29,12,4.2
Sauder Bookcase Pro,16106.84,3259.86,60,25,20.2
Bretford Conference Table Deluxe,16073.76,974.77,54,25,6.1
Bevis Table Pro,15379.26,1253.3400000000001,50,21,8.1
Bretford Conference Table Classic,15116.86,636.95,53,21,4.2
O'Sullivan Bookcase Pro,14995.55,756.15,67,22,5.0
Zebra Label Printer Standard,14823.31,-238.65999999999997,27,13,-1.6
Bush Classic Bookcase Standard,14612.119999999999,2982.55,54,24,20.4
Bush Classic Bookcase Classic,14543.460000000001,1966.48,58,26,13.5
Samsung Galaxy Dock Classic,14302.62,2695.99,49,20,18.8
Bevis Table Value,14275.41,1510.36,42,20,10.6
O'Sullivan Bookcase Value,14122.74,2325.96,56,25,16.5
Bretford Conference Table Standard,13979.02,1662.82,40,17,11.9
O'Sullivan Bookcase Standard,13857.34,1102.9,59,22,8.0
Cubify 3D Printer Deluxe,13843.81,-1688.9,24,12,-12.2
Bevis Table Deluxe,13829.5,1187.24,41,16,8.6
