Product Name,Discount Band Label,Total_Leakage,Line_Items,Category,Region_Most_Common
Cubify 3D Printer Pro,80%,7787.745781429605,3,Technology,Central
Canon imageCLASS Copier Classic,50%,5176.71240824084,1,Technology,East
Hewlett Packard Copier Deluxe,30%,5128.154920635113,3,Technology,East
Canon imageCLASS Copier Classic,70%,4311.004214873483,1,Technology,Central
Canon imageCLASS Copier Value,30%,4219.775346425569,4,Technology,Central
Hewlett Packard Copier Pro,40%,4146.661951197833,2,Technology,Central
Zebra Label Printer Pro,80%,3193.534700155812,1,Technology,East
Canon imageCLASS Copier Pro,70%,3153.237463354446,1,Technology,Central
Canon imageCLASS Copier Classic,40%,3094.2125227765623,3,Technology,Central
Hewlett Packard Copier Classic,50%,2945.9834310613232,1,Technology,East
Canon imageCLASS Copier Pro,60%,2850.1599343585535,1,Technology,West
Cubify 3D Printer Deluxe,50%,2718.9181820664744,2,Technology,East
Hewlett Packard Copier Classic,40%,2621.143084206093,1,Technology,East
Canon imageCLASS Copier Deluxe,40%,2515.5782964253085,2,Technology,Central
Canon imageCLASS Copier Standard,70%,2446.737301989533,1,Technology,East
Hewlett Packard Copier Deluxe,60%,2430.5136464454617,1,Technology,South
Lexmark Printer Standard,40%,2414.492757163851,3,Technology,West
Cubify 3D Printer Deluxe,40%,2406.8039346433025,3,Technology,Central
Canon imageCLASS Copier Standard,30%,2388.0160433037754,2,Technology,Central
Hewlett Packard Copier Value,70%,2306.4968994822875,1,Technology,Central
Cubify 3D Printer Pro,40%,2235.9886809763,1,Technology,East
Bevis Table Classic,50%,2063.441368271589,5,Furniture,East
Zebra Label Printer Classic,60%,2061.9244998450213,1,Technology,Central
Canon imageCLASS Copier Pro,40%,1992.360808912625,1,Technology,Central
Hewlett Packard Copier Deluxe,50%,1934.1655158982362,1,Technology,West
Lexmark Printer Classic,70%,1909.6361602361221,1,Technology,South
Lexmark Printer Deluxe,40%,1841.5152511338406,3,Technology,Central
Bretford Conference Table Classic,80%,1759.2372712017554,1,Furniture,East
Canon imageCLASS Copier Value,60%,1743.713397450481,1,Technology,Central
Zebra Label Printer Value,70%,1714.011294230695,1,Technology,Central
Cubify 3D Printer Value,30%,1650.27929290026,3,Technology,Central
Canon imageCLASS Copier Value,40%,1592.8032970009533,1,Technology,South
Chromcraft Round Table Deluxe,70%,1576.7842734822082,1,Furniture,South
Zebra Label Printer Pro,30%,1538.8523690287054,3,Technology,Central
Lexmark Printer Classic,50%,1514.9037523104225,1,Technology,Central
Cisco IP Phone Standard,60%,1508.980310752666,1,Technology,Central
Zebra Label Printer Value,40%,1507.0875690984076,2,Technology,Central
Zebra Label Printer Classic,70%,1506.6340389650338,1,Technology,West
Chromcraft Round Table Deluxe,40%,1422.972912869498,4,Furniture,Central
Lexmark Printer Deluxe,30%,1409.1610242218385,3,Technology,Central
Bretford Conference Table Pro,30%,1408.646545870291,4,Furniture,Central
Samsung Galaxy Dock Value,40%,1404.4454423561956,3,Technology,East
Zebra Label Printer Deluxe,40%,1384.8515706440176,2,Technology,Central
Sauder Bookcase Deluxe,80%,1330.665910868554,1,Furniture,South
Lexmark Printer Value,30%,1301.6099056600024,2,Technology,East
O'Sullivan Bookcase Standard,30%,1287.1534137293613,5,Furniture,East
Canon imageCLASS Copier Standard,50%,1272.2756018741675,1,Technology,Central
Hewlett Packard Copier Pro,50%,1266.2524675798163,1,Technology,Central
O'Sullivan Bookcase Pro,30%,1264.5589730015217,4,Furniture,East
Canon imageCLASS Copier Pro,30%,1259.92929495373,2,Technology,Central
